"Additional Information","Adresse Zusatz"
"Are you sure you want to remove this product from your wishlist?","Sind Sie sicher, dass Sie den Artikel aus Ihrer Merkliste entfernen möchten?"
"Please specify date required option(s).","Bitte die benötigten Datum-Optionen festlegen."
"Please specify the product option(s)","Bitte wählen Sie die Artikeloptionen"
"Please specify the product required option(s).","Bitte benötigte Artikeloptionen auswählen."
"Please specify the product's option(s).","Bitte wählen Sie die Anzahl (Menge) der Artikel aus."
"Please specify the product's required option(s).","Bitte wählen Sie die Artikel-Pflichtangaben."
"Please specify the quantity of product(s).","Bitte Artikelmenge auswählen."
"Please specify time required option(s).","Bitte die benötigten Zeit-Optionen angeben."
"A new password has been sent.","Das neue Passwort wurde Ihnen per E-Mail zugeschickt."
"Sign up in 3 steps","Anmeldung in 3 Schritten"
"Thank you for registering with %s.","Vielen Dank für Ihre Registrierung bei %s."
"Product","Artikel"
"Productname","Artikelname"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Ein Benutzer mit dieser E-Mail Adresse existiert bereits. Sollten Sie Ihr Passwort vergessen haben, dann können Sie ein <a href=""%s"">neues Passwort anfordern</a>."
"Clear All","Alle Optionen zurücksetzen"
"Currently Shopping by:","Ausgewählte Optionen"
"Shopping Options","Optionen"
"Thank you for registering with %s.","Vielen Dank für Ihre Registrierung bei %s."
"The first name cannot be empty.","Für die Bearbeitung Ihrer Bestellung, benötigen wir von Ihnen noch einige Angaben: Vorname, Nachname und ein gültige E-Mail-Adresse, an die wir Ihnen die Bestellbestätigung schicken können."
"The last name cannot be empty.","Bitte geben Sie Ihren Vornamen und Nachnamen ein."
"Invalid email address ""%s"".","Bitte geben Sie eine gültige E-Mail-Adresse ein."
"""%s"" is not a valid email address.","""%s"" Bitte geben Sie eine gültige E-Mail-Adresse ein."
"You have not tagged any products yet.","Sie haben noch keine eigenen Schlagwörter einem Artikel vergeben.</p><p><b>Probieren sie es aus!</b> In der Produkt-Einzelansicht, auf der rechten Seite, haben Sie die Möglichkeit eigene Schlagwörter zu vergeben."
"Entered emails are not the same","Beide E-Mail-Adressen sind nicht identisch."
"Destination folder is not writable or does not exists.","Der Zielordner ist nicht beschreibbar oder existiert nicht."
"%s tag(s) have been accepted for moderation.","Sie haben diesem Produkt %s neues Schlagwort(e) zugeordnet."
"<strong>Tag Name:</strong> %s","<strong>Schlagwort:</strong> %s"
"Tag ""%s""" has been added to the product.","Schlagwort ""%s"" wurden diesem Produkt zugefügt."
"The tag has been deleted.","Schlagwort wurde gelöscht."
"Tag ""%s""" has been added to the product.","Schlagwort ""%s""" wurde diesem Produkt zugefügt"
"Jewelry Wholesale","Schmuck Großhandel"
"""%s"" is not a valid hostname.","""%s"" entspricht einem ungültigen Format."
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' entspricht einem Domainnamen, aber die angegebenen Punycode Schreibweise kann nicht dekodiert werden."
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' entspricht einem Domainnamen, dieser enthält aber einen Bindestrich an einer nicht zulässigen Position."
"'%value%' does not match the expected structure for a DNS hostname","'%value%' stimmt nicht mit der erwarteten Struktur für einen Domainnamen überein"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' entspricht einem Domainnamen, aber stimmt nicht mit dem Shchma für TLD's '%tld%' überein"
"'%value%' does not appear to be a valid local network name","'%value%' entspricht nicht einem gültigen Namen für eine lokale Netzwerkadresse"
"'%value%' does not appear to be a valid URI hostname","'%value%' entsprircht nicht einer gültigen URI Hostame-Angabe"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' entspricht einer IP-Adresse. Angaben mit IP-Adressen sind aber nicht zulässig"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' entspricht eher einem lokalen Netzwerknamen. Lokale Netzwerknamen sind aber nicht zulässig"
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' entspricht einem Domainnamen. Dabei kann aber der TLD-Teil nicht verarbeitet werden" 
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' entspricht einem Domainnamen. Ist aber in der Liste der zulässigen Domains nicht aufgeführt"
"Invalid type given. String expected","Ungültiger Typ. Es wird eine Zeichenkette (String) erwartet."
"Checkout","Kasse"
"Your order # is: %s.","Ihre Bestellnummer ist: %s."
"Unit","VPE"
"%d Pieces","%d Stück"
"Please enter your email or customer number.","Bitte geben Sie Ihre Kundennummer oder die im Shop hinterlegte E-Mail Adresse ein."
"This email address or customer number was not found in our records.","Diese Kundennummer oder E-Mail-Adresse ist in unserem Shop nicht gespeichert. Gerne stehen Wir Ihnen auch persönlich zur Seite. Rufen Sie uns an."
"Invalid email address.","Die E-Mail-Adresse enthält ungültige Zeichen."
"File uploaded successfully","Datei wurde erfolgreich hochgeladen."
"""%s"" is a required value.","""%s"" ist ein Pflichtfeld"
"""%s"" length must be equal to or greater than %s characters.","""%s"" die Länge des Wortes sollte mehr als %s Zeichen betragen."
"The order has been cancelled.","Die Bestellung wurde storniert."
"The sitemap has been saved.","Die Sitemap wurde gespeichert."
"The sitemap ""%s"" has been generated.","Die Sitemap ""%s"" wurde generiert."
"Register as a retailer","Registrierung als Schmuckfachhändler"
"Billing Information","Rechnungs- & Versandadresse"
"Your Billing And Shipping Information","Ihre Rechnungs & Versandadresse"
"Shipping Information","Versandadresse"
"Products tagged with '%s'","%s"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Bitte besätigen Sie die Gültigkeit Ihrer E-Mail Adresse. Bitte überprüfen Sie dazu Ihre E-Mails und klicken Sie in der  Email auf den Bestätigungslink."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Bitte bestätigen Sie die Gültigkeit Ihrer E-Mail Adresse. Dazu haben wir Ihnen eine E-Mail geschickt. Bitte überprüfen Sie Ihre E-Mails und klicken Sie auf den Bestätigungslink."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Dieses Benutzerkonto wurde von Ihnen noch nicht bestätigt. Dazu haben wir Ihnen bei der Registrierung eine Bestätigungsmail gesendet. Sollten Sie diese nicht erhalten haben, dann rufen Sie uns bitte kurz an, damit wir Ihr Konoto telefonisch freischalten können."

"Back to Login","Zurück zur Anmeldung"
"I will send my license by fax. Fax number: %s","Ich schicke den Gewerbeschein per Fax zu. Faxnummer: %s"
"Configure order","Bestellung konfigurieren"
"Product order","Bestellmenge auswählen"
"This account is not activated.", "Vielen Dank für Ihre Registrierung in unserem Shop. Ihre Anmeldung wird nun von uns geprüft. Sollten Sie werktags innerhalb von 24 Std. von uns keine Benachrichtigung erhalten haben, bitten wir Sie um einen kurzen Rückruf."
"Step","Schritt"
"Shipping Method","Versandart"
"Shipping method","Versandart"
"Order Review","Bestellung abschließen"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Sie werden eine E-Mail mit einer detaillierten Bestell-Bestätigung erhalten."
"Quick Order","Bestellschein"
"Login","Login"
"Please check shipping address information. %s","%s Bitte rufen Sie uns kurz unter +49 (0)201 820 820 an. Ihr Max Fröhlich Team"
"Please enter the last name.","Zum Abschluss Ihrer Bestellung fehlt uns Ihr Nachnahme."
"Please enter the first name.","Zum Abschluss Ihrer Bestellung fehlt uns Ihr Vorname."
